0x08D9E0F,054120626F79
0x0B33FF8,1000
0x0B36B6B,03
0x0B3A994,00000000
0x0B80AAB,02
0x0BF9B1A,09
0x0BF9B44,09
0x2022058,FD08
0x2022068,FD08
0x2023048,0164
0x202304B,0E
0x2023056,00A4
0x2032044,012B00B7015C
0x2050048,012B
0x2050100,005E028E
0x2050106,FF87
0x205010E,1018
0x2050111,A002FD
0x2050116,FA9C
0x205011E,FFFF
0x2050121,A0FD10
0x2050126,FBC7
0x205012E,FFFF
0x206C048,012B
0x209F078,002F
0x209F07B,35
0x209F07D,10F5A7
0x209F086,FFFF
0x209F089,25FEF7
0x209F08D,10F408
0x209F096,FF01002F
0x209F09B,D6
0x209F09D,10F553
0x209F0A2,CDE8
0x209F0A6,FFFF
0x209F0A9,110102
0x209F0AD,10F623
0x209F0B6,7004
0x20B1048,012B
0x20BD048,012B
0x20C8048,012B
0x20F386A,0D
0x20F386E,FDBB
0x20F3873,4A
0x20F38E8,0F
0x20F38F2,F7B9
0x212419E,EE3A
0x21241AE,EE3A
0x212814B,CB
0x212C11B,2C
0x213010B,0D
0x21342F7,CE
0x21381E7,4F
0x230B1E7,82
0x24B80DD,2A0111
0x24B80E1,4DFB8E
0x24B80EA,2909
0x25DB718,01
0x25DB728,03
0x25DB73A,03
0x25DB748,01
0x25DB758,01
0x25DB768,03
0x25DB77A,05
0x25DB78A,05
0x25DB79A,09
0x25DB7A8,03
0x25FA213,0E
0x27A20E3,05
0x27A20E6,57
0x27A20EB,05
0x27A20EE,57
0x27A20F3,05
0x27A20F6,57
0x27A20FB,05
0x27A20FE,57
0x27A2103,05
0x27A2106,57
0x2801425,5B
0x2801AD9,5B
0x2802021,5B
0x28023E2,EC47FF6A252E
0x2802475,5B
0x28025B8,0015
0x28025C6,10020015
0x28025D6,1102
0x280267D,5B
0x280272A,EC47FF6A252E
0x2802968,0015
0x2802976,12020015
0x2802986,1302
0x2802A2D,5B
0x2802ADA,EC47FF6A252E
0x2802DD2,EC47FF6A252E
0x2802EB5,5B
0x2835454,0015
0x2835462,2F020102
0x2844CA0,01
0x2844F50,01
0x284A896,11A0
0x284A8A6,11A0
0x284A8B6,11A0
0x284A8C6,11A0
0x284A8D6,11A0
0x284A8E6,11A0
0x284A8F6,20
0x284A966,11A1
0x284A976,11A1
0x284A986,11A1
0x284A996,11A1
0x284A9A6,11A1
0x284A9B6,11A1
0x284A9C6,21
0x284D50D,0D
0x284D51B,00
0x284D51D,0D
0x284D52B,00
0x284D52D,0D
0x284D53B,00
0x284D53D,0D
0x284D54B,00
0x284D54D,0D
0x284D55B,00
0x284D8FD,0D
0x284D90B,00
0x284D90D,0D
0x284D91B,00
0x284D91D,0D
0x284D92B,00
0x284D92D,0D
0x284D93B,00
0x284D93D,0D
0x284D94B,00
0x289A298,00
0x289A3C8,00
0x289A4E8,00
0x289A610,00
0x289A7C0,01
0x289A7C2,01
0x289A7D0,01
0x289A970,01
0x289A972,01
0x289A980,01
0x289AB18,00
0x289ABF8,00
0x289ACD8,00
0x289AEA8,00
0x289AEB8,00
0x28BB551,C5
0x28BB553,FB
0x28BB555,BC
0x28BB557,FC
0x28BB626,1E
0x28BB681,C5
0x28BB683,FB
0x28BB685,BC
0x28BB687,FC
0x28BB756,1F
0x28DF643,05
0x2913CD6,0D
0x2940923,74
0x2940A51,15F9DD
0x2940A55,4E
0x2940A57,CB
0x2940A5E,0302
0x2940B13,74
0x2940B81,15F9EB
0x2940B85,34
0x2940B87,D2
0x2940B8E,0202
0x295BB44,0007
